endTime,artistName,trackName,msPlayed
2023-05-31 15:10,Declan McKenna,"Daniel, You're Still a Child",238920
2023-05-31 15:14,KALEO,All the Pretty Girls,269893
2023-05-31 15:15,Indios,Ya Pasó,60636
2023-05-31 15:18,The Strokes,The Adults Are Talking,4610
2023-05-31 15:18,Lorde,Royals,13260
2023-05-31 15:18,Jason Mraz,I'm Yours,158590
2023-05-31 15:18,George Harrison,Beware of Darkness - 2014 Remaster,4690
2023-05-31 16:40,Radiohead,Reckoner,26659
2023-05-31 16:40,The Strokes,You Only Live Once,189226
2023-05-31 16:45,Thirdstory,Only Love,238453
2023-05-31 16:51,Bon Iver,Blindsided,329266
2023-05-31 16:51,Tove Lo,2 Die 4,9922
2023-06-01 10:35,Tove Lo,2 Die 4,640
2023-06-01 11:02,Led Zeppelin,Stairway to Heaven - Remaster,5600
2023-06-01 11:02,Danny Ocean,Volare,6026
2023-06-01 11:02,The Black Skirts,EVERYTHING,29930
2023-06-01 11:02,Nick Jonas & The Administration,Who I Am,354117
2023-06-01 11:05,Ciro y los Persas,Me Gusta,167250
2023-06-01 11:05,Dean Martin,Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,16840
2023-06-01 11:06,Quevedo,WANDA,13360
2023-06-01 11:06,TINI,Quiero Volver,9260
2023-06-01 11:08,Lianne La Havas,They Could Be Wrong,141860
2023-06-01 11:08,Pescado Rabioso,Cementerio Club,5750
2023-06-01 11:12,Arath Herce,Quiero Sentirlo Todo,220629
2023-06-01 11:13,The Beatles,Dear Prudence - Remastered 2009,6227
2023-06-02 02:12,Cha Se-Eun,Chihiro,26965
2023-06-02 02:13,Anderson .Paak,Come Home (feat. André 3000),41941
2023-06-02 02:13,Liana Flores,rises the moon,16362
2023-06-02 02:41,Cambia Tu Mente Y Podrás Cambiar Tu Vida," Libera la tensión acumulada relaja tu mente, libre de estrés.",1675776
2023-06-02 10:46,The Beatles,Rock And Roll Music - Remastered 2009,2880
2023-06-02 10:49,NAFTA,Quiero Verte,7380
2023-06-02 10:49,Nick Jonas & The Administration,Who I Am,172590
2023-06-02 10:49,La Beriso,Madrugada,9660
2023-06-02 10:50,Mac Miller,Come Back to Earth,5080
2023-06-02 10:50,ODESZA,The Last Goodbye,4750
2023-06-02 10:50,Kevin Kaarl,Amor Viejo,46430
2023-06-02 10:51,Mac DeMarco,My Kind of Woman,1240
2023-06-02 10:51,David Guetta,Titanium (feat. Sia),1000
2023-06-02 10:51,The Strokes,Under Control,1020
2023-06-02 10:51,Coti,Nada Fue Un Error,1040
2023-06-02 10:51,Queen,Crazy Little Thing Called Love - Remastered 2011,790
2023-06-02 10:51,The Smiths,Heaven Knows I'm Miserable Now - 2011 Remaster,960
2023-06-02 10:51,Declan McKenna,"Eventually, Darling",1890
2023-06-02 10:51,Queen,Don't Stop Me Now - Remastered 2011,1050
2023-06-02 10:51,Adele,I'll Be Waiting,6880
2023-06-02 10:51,Axel,Te Voy A Amar,4690
2023-06-02 10:51,Vance Joy,Riptide,1770
2023-06-02 10:51,The Strokes,Barely Legal,1080
2023-06-02 10:51,Mac Miller,What's the Use?,970
2023-06-02 10:51,Bon Iver,"Hey, Ma",1210
2023-06-02 10:51,Los Abuelos De La Nada,Mil Horas,1510
2023-06-02 10:51,Ciro y los Persas,Me Gusta,2120
2023-06-02 10:51,Keane,Sovereign Light Café,900
2023-06-02 10:51,Maná,Amor Clandestino,1140
2023-06-02 10:51,Cardellino,Daiquiri,1870
2023-06-02 10:51,Rodrigo,Ocho Cuarenta,1580
2023-06-02 10:51,MEUTE,You & Me,1500
2023-06-02 10:51,Guns N' Roses,Knockin' On Heaven's Door,1170
2023-06-02 10:51,Miranda!,Perfecta - Versión con Julieta Venegas,1480
2023-06-02 10:51,The Night Café,Please,3350
2023-06-02 10:51,Queen,Another One Bites The Dust - Remastered 2011,1030
2023-06-02 10:51,ABBA,Dancing Queen,1250
2023-06-02 10:51,The Smiths,You've Got Everything Now - David Jensen Session 26/06/83,1050
2023-06-02 10:51,The Beatles,You Like Me Too Much - Remastered 2009,1140
2023-06-02 10:51,Queen,I Want To Break Free - Remastered 2011,900
2023-06-02 10:51,Phoebe Bridgers,Motion Sickness,1060
2023-06-02 10:51,Fabiana Cantilo,Mi enfermedad,890
2023-06-02 10:51,Bon Iver,Skinny Love,1310
2023-06-02 10:51,Gilbert O'Sullivan,Alone Again (Naturally),1190
2023-06-02 10:51,Mount Dreams,Night Dive (feat. Saavan),1090
2023-06-02 10:51,Wham!,Wake Me Up Before You Go-Go,890
2023-06-02 10:51,Ben Böhmer,Breathing,2040
2023-06-02 10:55,Gregory Alan Isakov,Words,17240
2023-06-02 10:55,Miranda!,Enamorada,3980
2023-06-02 10:55,The Lumineers,Gloria,216120
2023-06-02 10:55,Los Panchos,Nosotros,6110
