endTime,artistName,trackName,msPlayed
2023-05-26 01:00,Meek Mill,R.I.C.O. (feat. Drake),21668
2023-05-26 01:01,ROSALÍA,BESO,56576
2023-05-26 06:10,ROSALÍA,BESO,1258
2023-05-26 06:10,Selecta,Tu Nombre - Remix - Bonus Track,181845
2023-05-26 06:10,Gustavo Cerati,Camuflaje,3882
2023-05-26 06:13,Fito Paez,Un vestido y un amor,199000
2023-05-26 06:13,La Franela,Hacer un puente,2410
2023-05-26 06:13,Gustavo Cerati,Puente,12894
2023-05-26 06:16,Luis Alberto Spinetta,Ya No Mires Atrás,1941
2023-05-26 06:16,La Portuaria,A Través De Tus Ojos,1471
2023-05-26 06:16,Charly García,Chipi-Chipi,1834
2023-05-26 06:16,Soda Stereo,Trátame Suavemente - Remasterizado 2007,168661
2023-05-26 06:16,Pescado Rabioso,Todas las Hojas Son del Viento,1237
2023-05-26 06:16,Jarabe De Palo,Me gusta como eres,1237
2023-05-26 06:16,Gustavo Cerati,Adiós,1535
2023-05-26 06:16,Conociendo Rusia,Cabildo y Juramento,1408
2023-05-26 06:19,Soda Stereo,Te Para 3 - MTV Unplugged,18577
2023-05-26 06:19,Fito Paez,Pétalo de sal,163280
2023-05-26 06:23,Feid,Classy 101,195986
2023-05-26 06:24,Delaossa,Parezco Tonto,2431
2023-05-26 06:24,Israel B,Mejor,8981
2023-05-26 06:24,Fuego,Cereza,84580
2023-05-26 06:27,Eladio Carrion,Sin Frenos,197141
2023-05-26 06:28,Delaossa,Felicidades,5418
2023-05-26 06:30,TAICHU,NOCHE DE SATEO,173238
2023-05-26 06:34,TAICHU,PRESIÓN,186133
2023-05-26 06:38,Quevedo,AHORA QUÉ,5529
2023-05-26 06:38,Andrés Calamaro,Crímenes perfectos,264840
2023-05-26 06:41,La Portuaria,A Través De Tus Ojos,188546
2023-05-26 06:41,Calle 13,Un Beso de Desayuno,1460
2023-05-26 21:42,Fito Paez,Dos días en la vida,746
2023-05-26 23:38,Fito Paez,Brillante Sobre el Mic - EADDA9223,29580
2023-05-26 23:41,Fito Paez,Giros,187600
2023-05-26 23:43,Fito Paez,Taquicardia,121533
2023-05-26 23:47,Fito Paez,Alguna Vez Voy A Ser Libre,236560
2023-05-26 23:50,Fito Paez,11 Y 6,178266
2023-05-26 23:53,Fito Paez,Yo Vengo A Ofrecer Mi Corazon,214840
2023-05-26 23:59,Fito Paez,Narciso Y Quasimodo,214366
2023-05-27 00:03,Fito Paez,Cable A Tierra,205600
2023-05-27 00:06,Fito Paez,Decisiones Apresuradas,162493
2023-05-27 00:22,Fito Paez,D.L.G.,233590
2023-05-27 00:22,Selecta,Tu Nombre - Remix - Bonus Track,14928
2023-05-27 00:25,Cruz Cafuné,TURBO // Epifanía,157589
2023-05-27 00:28,Cruz Cafuné,Dios #1,200125
2023-05-27 00:30,Cruz Cafuné,s3_e07_theboondocks_dvdrip.mpeg,135224
2023-05-27 00:31,Cruz Cafuné,s3_e07_theboondocks_dvdrip.mpeg,1898
2023-05-27 00:31,Cruz Cafuné,Dios #1,16618
2023-05-27 00:31,Cruz Cafuné,BABI BOI,22815
2023-05-27 00:34,Cruz Cafuné,s3_e07_theboondocks_dvdrip.mpeg,135224
2023-05-27 00:37,Cruz Cafuné,BABI BOI,213525
2023-05-27 00:41,Cruz Cafuné,4 PREZ,149484
2023-05-27 00:41,Cruz Cafuné,Cangrinaje,35503
2023-05-27 04:24,Luis Alberto Spinetta,Rezo por Vos (En Vivo Estadio Vélez Sarsfield) (feat. Charly García),512
2023-05-27 04:29,Ciro y los Persas,Antes y Después,302788
2023-05-27 04:32,Charly García,Demoliendo Hoteles,135973
2023-05-27 04:36,La Vela Puerca,De Atar,244160
2023-05-27 04:40,Andrés Calamaro,Flaca,277653
2023-05-27 04:44,Los Piojos,Ruleta,3023
2023-05-27 04:44,Patricio Rey y sus Redonditos de Ricota,Un Ángel para Tu Soledad,231533
2023-05-27 04:48,Callejeros,Prohibido,210013
2023-05-27 04:51,Divididos,Spaghetti del Rock,212880
2023-05-27 04:55,Fito Paez,Dos días en la vida,212920
2023-05-27 04:59,Turf,Loco Un Poco,1258
2023-05-27 04:59,Charly García,Nos Siguen Pegando Abajo,1535
2023-05-27 04:59,Los Auténticos Decadentes,Un Osito de Peluche de Taiwán,237161
2023-05-27 04:59,Catupecu Machu,A Veces Vuelvo,1344
2023-05-27 04:59,Los Tipitos,Campanas en la Noche,1621
2023-05-27 13:08,Attaque 77,Arrancacorazones,99029
2023-05-27 15:43,C. Tangana,Antes de Morirme (feat. ROSALÍA),19610
2023-05-27 15:43,Lao Ra,Picaflor,1020
2023-05-27 15:43,C. Tangana,Persiguiéndonos,2120
2023-05-27 15:45,C. Tangana,Estrecho / Alvarado (feat. pablopablo),150141
2023-05-27 15:49,C. Tangana,Yelo,189356
2023-05-27 15:51,C. Tangana,Llorando en la Limo (feat. Alizzz),139354
2023-05-27 15:53,C. Tangana,Cuando Me Miras (feat. Enry-K),143127
2023-05-27 15:56,Israel B,Tranquilísimo,143179
2023-05-27 15:57,Alvaro Diaz,Todas Mías,230
2023-05-27 15:57,Jesse Baez,Fácil,1601
2023-05-27 15:57,C. Tangana,5 Stars (feat. Polimá Westcoast),1950
2023-05-27 15:57,C. Tangana,Still Rapping (feat. Steve Lean),89899
2023-05-27 16:01,C. Tangana,5 Stars (feat. Polimá Westcoast),244971
2023-05-27 16:04,Alvaro Diaz,Todas Mías,174920
2023-05-27 16:05,C. Tangana,"Huele a Nuevo (feat. Sticky M.A., Danni Ble & Royce Rolo)",61708
