Fecha,Hora,artistName,trackName,msPlayed,Fuente
2023-05-26,14:52,Andrés Calamaro,Te quiero igual,188394,A
2023-05-26,14:56,ROSALÍA,BESO,194543,A
2023-05-26,14:58,Emilia,Jagger.mp3,155861,A
2023-05-26,15:01,Lola Indigo,EL TONTO,188087,A
2023-05-26,15:07,Lola Indigo,EL TONTO,166809,A
2023-05-26,15:09,Quevedo,LISBOA,151304,A
2023-05-26,15:12,Quevedo,YANKEE,194400,A
2023-05-26,15:13,Catupecu Machu,A Veces Vuelvo,40841,A
2023-05-26,15:15,Milo j,Milagrosa,140288,A
2023-05-26,15:19,Luck Ra,Ya No Vuelvas (Versión Cuarteto),204000,A
2023-05-26,15:21,Emilia,Jagger.mp3,155861,A
2023-05-26,15:24,Eladio Carrion,Me Gustas Natural,170078,A
2023-05-26,15:27,Lola Indigo,EL TONTO,188087,A
2023-05-26,15:31,ROSALÍA,BESO,194543,A
2023-05-26,15:33,Quevedo,LISBOA,151304,A
2023-05-26,15:36,Feid,Normal,171880,A
2023-05-26,15:39,Quevedo,YANKEE,194400,A
2023-05-26,15:43,Quevedo,MUÑECA,210750,A
2023-05-26,15:45,Taiu,Rara Vez,128677,A
2023-05-26,15:48,TINI,Cupido,174369,A
2023-05-26,15:51,Quevedo,WANDA,160909,A
2023-05-26,15:53,TINI,Las Jordans,144799,A
2023-05-26,15:57,Rei,FERNET,5491,A
2023-05-26,15:57,Quevedo,PLAYA DEL INGLÉS,237525,A
2023-05-26,15:58,Cris Mj,Marisola - Remix,54125,A
2023-05-26,16:05,La Joaqui,Amanecemos,198183,A
2023-05-26,16:08,Eslabon Armado,Ella Baila Sola,165671,A
2023-05-26,16:11,Miranda!,Perfecta (Versión 2023),189041,A
2023-05-26,16:13,Milo j,AL BORDE,148321,A
2023-05-26,16:16,Lauty Gram,Vida Gangster,170058,A
2023-05-26,16:19,BM,M.A (Mejores Amigos),158309,A
2023-05-26,16:22,Bad Bunny,WHERE SHE GOES,231704,A
2023-05-26,16:22,Feid,Feliz Cumpleaños Ferxxo,5330,A
2023-05-26,16:22,Taiu,Rara Vez,905,A
2023-05-26,16:23,Big One,En La Intimidad | CROSSOVER #1,673,A
2023-05-26,16:23,TINI,Muñecas,1277,A
2023-05-26,16:23,ECKO,Te Escapas De Mis Brazos (Remix),975,A
2023-05-26,16:25,Big One,En La Intimidad | CROSSOVER #1,165854,A
2023-05-26,16:30,ECKO,Te Escapas De Mis Brazos (Remix),217826,A
2023-05-26,16:32,Mesita,Dale Mecha,150829,A
2023-05-26,16:36,Ke Personajes,Pobre Corazón - En Vivo,198930,A
2023-05-26,16:38,The La Planta,DISCOTEKA (feat. Locura Mix),106088,A
2023-05-26,16:49,BM,M.A - Remix,0,A
2023-05-26,16:49,Maria Becerra,ADIÓS,156244,A
2023-05-26,16:52,Feid,Classy 101,195986,A
2023-05-26,16:56,Nicki Nicole,CAEN LAS ESTRELLAS,145171,A
2023-05-26,16:56,Yandel,Yandel 150,673,A
2023-05-26,16:56,Maria Becerra,ADIÓS,7008,A
2023-05-26,16:58,LiL CaKe,MERCHO,161451,A
2023-05-26,17:01,Grupo Frontera,un x100to,186375,A
2023-05-26,17:03,Camila,Decidiste Dejarme,1137,A
2023-05-26,17:03,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",65085,A
2023-05-26,17:03,Airbag,Solo aquí,2345,A
2023-05-26,17:06,Los Abuelos De La Nada,Mil Horas,210697,A
